CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
679580100,ODFL,OLD DOMINION FREIGHT LINE IN,7289,-195,1.58M,-42.23K,-2.6%,0.43%
277432100,EMN,EASTMAN CHEM CO,16437,-645,1.1M,-43.2K,-3.8%,0.3%
09290D101,BLK,BLACKROCK INC,430,-45,413.76K,-43.3K,-9.5%,0.11%
40412C101,HCA,HCA HEALTHCARE INC,2891,-129,1.13M,-50.29K,-4.3%,0.31%
46138G649,QQQM,INVESCO EXCH TRADED FD TR II,3090,-171,936.18K,-51.81K,-5.2%,0.26%
46432F339,QUAL,ISHARES TR,6873,-252,1.51M,-55.29K,-3.5%,0.41%
23325P104,DNP,DNP SELECT INCOME FD INC,48115,-5340,519.17K,-57.62K,-10%,0.14%
166764100,CVX,CHEVRON CORPORATION,10864,-362,1.8M,-60.01K,-3.2%,0.49%
88160R101,TSLA,TESLA INC,4787,-143,2.01M,-60.15K,-2.9%,0.55%
453038408,IMO,IMPERIAL OIL LTD,10432,-553,1.17M,-61.95K,-5%,0.32%
64110L106,NFLX,NETFLIX INC.,5196,-882,370.99K,-62.97K,-14.5%,0.1%
902973304,USB,US BANCORP,10725,-1069,647.81K,-64.57K,-9.1%,0.18%
12541W209,CHRW,C H ROBINSON WORLDWIDE IN,7842,-344,1.48M,-64.79K,-4.2%,0.4%
747525103,QCOM,QUALCOMM INC,1300,-376,240.15K,-69.46K,-22.4%,0.07%
09260D107,BX,BLACKSTONE INC,1377,-604,162.03K,-71.07K,-30.5%,0.04%
962879102,WPM,WHEATON PRECIOUS METALS CORP,11489,-647,1.29M,-72.67K,-5.3%,0.35%
064058100,BK,BANK OF NY MELLON CORP,10611,-571,1.53M,-82.57K,-5.1%,0.42%
38141G104,GS,GOLDMAN SACHS GROUP INC,2275,-83,2.3M,-83.94K,-3.5%,0.63%
00287Y109,ABBV,ABBVIE INC,3713,-371,934.44K,-93.37K,-9.1%,0.26%
46641Q217,BBJP,J P MORGAN EXCHANGE TRADED F,14264,-1343,1.07M,-101.14K,-8.6%,0.29%
27829F108,EXG,EATON VANCE TAX-MANAGED GLOB,0,-11717,0,-101.47K,CLOSE,0%
172967424,C,CITIGROUP INC,20278,-797,2.84M,-111.55K,-3.8%,0.78%
68902V107,OTIS,OTIS WORLDWIDE CORP,3710,-1710,265.61K,-122.42K,-31.5%,0.07%
33740U885,FAPR,FIRST TR EXCHNG TRADED FD VI,7775,-2832,363.4K,-132.37K,-26.7%,0.1%
032654105,ADI,ANALOG DEVICES INC,1521,-354,603.93K,-140.56K,-18.9%,0.17%
00130H105,AES,AES CORP,0,-10781,0,-151.9K,CLOSE,0%
30303M102,META,META PLATFORMS INC,5666,-325,3.19M,-183.06K,-5.4%,0.87%
701094104,PH,PARKER-HANNIFIN CORP,562,-188,549.58K,-183.85K,-25.1%,0.15%
46428Q109,SLV,ISHARES SILVER TR,0,-2765,0,-188.41K,CLOSE,0%
14040H105,COF,CAPITAL ONE FINL CORP,1808,-947,362.74K,-190K,-34.4%,0.1%
71654V408,PBR,PETROLEO BRASILEIRO S A,0,-9775,0,-202.83K,CLOSE,0%
718546104,PSX,PHILLIPS 66,0,-1118,0,-203.68K,CLOSE,0%
097023105,BA,BOEING CO,6495,-1025,1.41M,-221.88K,-13.6%,0.38%
244199105,DE,DEERE & CO,0,-396,0,-223.04K,CLOSE,0%
G1151C101,ACN,ACCENTURE PLC IRELAND,0,-1150,0,-228.03K,CLOSE,0%
464287556,IBB,ISHARES TR,0,-1380,0,-233.04K,CLOSE,0%
744573106,PEG,PUBLIC SVC ENTERPRISE GROUP,0,-3130,0,-253.4K,CLOSE,0%
92189H607,OIH,VANECK ETF TRUST,0,-645,0,-260.71K,CLOSE,0%
31946M103,FCNCA,FIRST CTZNS BANCSHARES INC D,0,-140,0,-263.85K,CLOSE,0%
084670702,BRK.B,BERKSHIRE HATHAWAY INC DEL,3826,-539,1.91M,-269.71K,-12.3%,0.52%
517834107,LVS,LAS VEGAS SANDS CORP,0,-5030,0,-271.02K,CLOSE,0%
026874784,AIG,AMERICAN INTL GROUP INC,0,-3737,0,-281.21K,CLOSE,0%
922908769,VTI,VANGUARD INDEX FDS,0,-881,0,-282.64K,CLOSE,0%
36266G107,GEHC,GE HEALTHCARE TECHNOLOGIES I,0,-4547,0,-323.66K,CLOSE,0%
35671D857,FCX,FREEPORT MCMORAN INC,0,-5515,0,-324.17K,CLOSE,0%
550021109,LULU,LULULEMON ATHLETICA INC,0,-2124,0,-325.18K,CLOSE,0%
