CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
46137V787,PBE,INVESCO EXCHANGE TRADED FD T,0,-64,0,-5.07K,CLOSE,0%
52110M109,LAZ,LAZARD INC,267844,-123,11.23M,-5.16K,-0%,<.01%
00650F109,ADPT,ADAPTIVE BIOTECHNOLOGIES COR,222280,-244,4.77M,-5.23K,-0.1%,<.01%
803054204,SAP,SAP SE,97555,-34,15.03M,-5.24K,-0%,<.01%
46435G193,SUSC,ISHARES TR,571391,-227,13.23M,-5.26K,-0%,<.01%
56117J100,MBUU,MALIBU BOATS INC,46348,-197,1.27M,-5.4K,-0.4%,<.01%
78463V107,GLD,SPDR GOLD TR,373,-15,137.41K,-5.53K,-3.9%,<.01%
97717W760,DLS,WISDOMTREE TR,1196,-68,100.21K,-5.7K,-5.4%,<.01%
464286533,EEMV,ISHARES INC,1422,-76,107.05K,-5.72K,-5.1%,<.01%
46131M106,VGM,INVESCO TR INVT GRADE MUNS,0,-585,0,-5.77K,CLOSE,0%
14020X104,CGGO,CAPITAL GROUP GBL GROWTH EQT,67529,-137,2.86M,-5.8K,-0.2%,<.01%
67092P201,NULG,NUSHARES ETF TR,2111,-51,247.11K,-5.97K,-2.4%,<.01%
25381B101,DMRC,DIGIMARC CORP NEW,0,-1222,0,-6K,CLOSE,0%
13321L108,CCJ,CAMECO CORP,6393,-61,651.19K,-6.21K,-0.9%,<.01%
464288836,IHE,ISHARES TR,288,-63,28.52K,-6.24K,-17.9%,<.01%
74347B508,TOLZ,PROSHARES TR,0,-104,0,-6.24K,CLOSE,0%
316188101,FCOR,FIDELITY MERRIMACK STR TR,0,-133,0,-6.27K,CLOSE,0%
45256X103,IBRX,IMMUNITYBIO INC,531957,-718,4.66M,-6.29K,-0.1%,<.01%
922020805,VTIP,VANGUARD MALVERN FDS,0,-127,0,-6.34K,CLOSE,0%
639057207,NWG,NATWEST GROUP PLC,682776,-362,12.04M,-6.38K,-0.1%,<.01%
00162Q452,AMLP,ALPS ETF TR,442,-124,22.92K,-6.43K,-21.9%,<.01%
921946810,VIGI,VANGUARD WHITEHALL FDS,0,-73,0,-6.46K,CLOSE,0%
14057J101,CFFN,CAPITOL FED FINL INC,206634,-761,1.76M,-6.48K,-0.4%,<.01%
825690100,SSTK,SHUTTERSTOCK INC,29487,-470,411.34K,-6.56K,-1.6%,<.01%
46137V530,PNQI,INVESCO EXCHANGE TRADED FD T,0,-147,0,-6.58K,CLOSE,0%
39818P799,PKST,PEAKSTONE REALTY TRUST,0,-316,0,-6.6K,CLOSE,0%
14575E105,CARS,CARS COM INC,167658,-619,1.83M,-6.77K,-0.4%,<.01%
00214Q708,ARKF,ARK ETF TR,0,-183,0,-6.96K,CLOSE,0%
464289842,EPU,ISHARES TR,0,-87,0,-7.02K,CLOSE,0%
780259305,SHEL,SHELL PLC,160073,-93,12.41M,-7.21K,-0.1%,<.01%
74316P645,CSMD,PROFESIONALLY MANAGED PORTFO,0,-237,0,-7.28K,CLOSE,0%
92189F437,ANGL,VANECK ETF TRUST,297,-249,8.68K,-7.28K,-45.6%,<.01%
679369108,OLPX,OLAPLEX HLDGS INC,68377,-3584,140.17K,-7.35K,-5%,<.01%
78464A755,XME,SPDR SERIES TRUST,3542,-69,378.75K,-7.38K,-1.9%,<.01%
37950E333,SPFF,GLOBAL X FDS,1000,-789,9.38K,-7.4K,-44.1%,<.01%
381430396,JUST,GOLDMAN SACHS ETF TR,0,-80,0,-7.4K,CLOSE,0%
922042676,VNQI,VANGUARD INTL EQUITY INDEX F,11,-170,493,-7.62K,-93.9%,<.01%
78463X475,SPGM,SPDR INDEX SHS FDS,1190,-89,101.95K,-7.62K,-7%,<.01%
37954Y467,EBIZ,GLOBAL X FDS,0,-286,0,-7.66K,CLOSE,0%
33733E302,FDN,FIRST TR EXCHANGE-TRADED FD,3155,-29,835.19K,-7.68K,-0.9%,<.01%
464287838,IYM,ISHARES TR,32,-43,5.75K,-7.72K,-57.3%,<.01%
464287556,IBB,ISHARES TR,6448,-41,1.23M,-7.8K,-0.6%,<.01%
