CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
134429109,CPB,THE CAMPBELLS COMPANY,0,-10485,0,-233.5K,CLOSE,0%
89679E300,TFIN,TRIUMPH FINANCIAL INC,0,-3926,0,-234.22K,CLOSE,0%
30225T102,EXR,EXTRA SPACE STORAGE INC,1518,-1614,220.56K,-234.51K,-51.5%,<.01%
72352L106,PINS,PINTEREST INC,30274,-11246,636.66K,-236.5K,-27.1%,<.01%
315948109,FBTC,FIDELITY WISE ORIGIN BITCOIN,28469,-4646,1.45M,-237.18K,-14%,0.02%
17243V102,CNK,CINEMARK HLDGS INC,0,-8325,0,-237.43K,CLOSE,0%
887389104,TKR,TIMKEN CO,0,-2362,0,-237.55K,CLOSE,0%
974637100,WGO,WINNEBAGO INDS INC,0,-7729,0,-239.52K,CLOSE,0%
65249B109,NWSA,NEWS CORP NEW,18456,-9739,458.26K,-241.82K,-34.5%,<.01%
18914F103,CLOV,CLOVER HEALTH INVESTMENTS CO,53028,-46455,277.87K,-243.42K,-46.7%,<.01%
302941109,FCN,FTI CONSULTING INC,0,-1430,0,-252.78K,CLOSE,0%
00766T100,ACM,AECOM,0,-2992,0,-253.78K,CLOSE,0%
55826T102,SPHR,SPHERE ENTERTAINMENT CO,0,-2162,0,-253.82K,CLOSE,0%
896945201,TRIP,TRIPADVISOR INC,12983,-18770,178K,-257.34K,-59.1%,<.01%
M2029K104,BIRK,BIRKENSTOCK HOLDING PLC,0,-7306,0,-261.77K,CLOSE,0%
00402L107,ASO,ACADEMY SPORTS & OUTDOORS IN,0,-4653,0,-262.66K,CLOSE,0%
071813109,BAX,BAXTER INTL INC,140796,-12432,3M,-265.05K,-8.1%,0.04%
65473P105,NI,NISOURCE INC,124,-5580,5.9K,-265.32K,-97.8%,<.01%
03753U106,APLS,APELLIS PHARMACEUTICALS INC,0,-6602,0,-265.6K,CLOSE,0%
74347G440,BITO,PROSHARES TR,108323,-33400,864.42K,-266.53K,-23.6%,0.01%
884903808,TRI,THOMSON REUTERS CORP,0,-2972,0,-267.42K,CLOSE,0%
63938C108,NAVI,NAVIENT CORPORATION,32982,-31846,280.68K,-271.01K,-49.1%,<.01%
925283103,VSNT,VERSANT MEDIA GROUP INC,1170,-7636,42.13K,-274.97K,-86.7%,<.01%
