CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
969904101,WSM,WILLIAMS SONOMA INC,899723,97879,209.73M,22.82M,+12.2%,0.13%
636274409,NGG,NATIONAL GRID PLC,688532,268666,57.06M,22.26M,+64%,0.04%
008492100,ADC,AGREE RLTY CORP,633290,291828,47.97M,22.1M,+85.5%,0.03%
46138G706,TAN,INVESCO EXCH TRADED FD TR II,371304,371304,21.96M,21.96M,NEW,0.01%
26441C204,DUK,DUKE ENERGY CORP NEW,189596,172998,24M,21.9M,+1042.3%,0.01%
92337F107,VCYT,VERACYTE INC,413037,370902,24.26M,21.78M,+880.3%,0.01%
049560105,ATO,ATMOS ENERGY CORP,126273,126273,21.75M,21.75M,NEW,0.01%
675222400,OGC.TO,OCEANAGOLD CORP,867844,867844,21.73M,21.73M,NEW,0.01%
008073AA6,AVAV,AEROVIRONMENT INC,22844000,22844000,21.71M,21.71M,NEW,0.01%
902973304,USB,US BANCORP,678404,358072,40.98M,21.63M,+111.8%,0.03%
405552100,HLN,HALEON PLC,2525293,2316228,23.56M,21.61M,+1107.9%,0.01%
N00985106,AER,AERCAP HOLDINGS NV,796742,147891,116.15M,21.56M,+22.8%,0.07%
532206AC3,,LIFE360 INC,20575000,20575000,21.44M,21.44M,NEW,0.01%
086516101,BBY,BEST BUY INC,333449,277810,25.3M,21.08M,+499.3%,0.02%
59151K108,MEOH,METHANEX CORP,903581,455475,41.7M,21.02M,+101.6%,0.03%
07831C103,BRBR,BELLRING BRANDS INC,3382302,1594051,43.77M,20.63M,+89.1%,0.03%
441593100,HLI,HOULIHAN LOKEY INC,290765,152248,39M,20.42M,+109.9%,0.02%
09075V102,BNTX,BIONTECH SE,417421,217653,38.84M,20.25M,+109%,0.02%
40131MAD1,GH,GUARDANT HEALTH INC,104512000,8000000,263.11M,20.14M,+8.3%,0.16%
902494103,TSN,TYSON FOODS INC,1335396,350908,76.45M,20.09M,+35.6%,0.05%
G1110E107,BHVN,BIOHAVEN LTD,4190195,1343002,62.35M,19.98M,+47.2%,0.04%
15189T107,CNP,CENTERPOINT ENERGY INC,458302,452990,20.18M,19.95M,+8527.7%,0.01%
808625107,SAIC,SCIENCE APPLICATIONS INTL CO,206376,180332,22.79M,19.91M,+692.4%,0.01%
N52A8C105,INIO,INNIO NV,500000,500000,19.77M,19.77M,NEW,0.01%
89377MAB5,TMDX,TRANSMEDICS GROUP INC,18000000,18000000,19.56M,19.56M,NEW,0.01%
811927102,SEA.TO,SEABRIDGE GOLD INC,752283,752283,19.37M,19.37M,NEW,0.01%
92242T101,VVX,V2X INC,582484,259185,43.43M,19.32M,+80.2%,0.03%
05329W102,AN,AUTONATION INC,306886,103606,57.02M,19.25M,+51%,0.04%
438516205,HON,HONEYWELL INTL INC,85733,85733,19.2M,19.2M,NEW,0.01%
43849R105,HONA,HONEYWELL AEROSPACE INC,86233,86233,19.06M,19.06M,NEW,0.01%
75776W103,RDW,REDWIRE CORPORATION,3734733,1558352,45.68M,19.06M,+71.6%,0.03%
43289P106,HIMX,HIMAX TECHNOLOGIES INC,1655573,1241462,25.4M,19.04M,+299.8%,0.02%
36828A101,GEV,GE VERNOVA INC,65033,16201,76.4M,19.03M,+33.2%,0.05%
143130102,KMX,CARMAX INC,3280103,359686,173.48M,19.02M,+12.3%,0.11%
780087102,RY,ROYAL BK CDA,129900,91900,26.87M,19.01M,+241.8%,0.02%
61559X104,MLTX,MOONLAKE IMMUNOTHERAPEUTICS,3365507,974846,65.53M,18.98M,+40.8%,0.04%
35834FAC8,,T1 ENERGY INC,11000000,11000000,18.95M,18.95M,NEW,0.01%
G491BT108,IVZ,INVESCO LTD,3687880,717011,97.32M,18.92M,+24.1%,0.06%
001055102,AFL,AFLAC INC,263546,161193,30.9M,18.9M,+157.5%,0.02%
550241103,LUMN,LUMEN TECHNOLOGIES INC,17493715,2459602,134.35M,18.89M,+16.4%,0.08%
