CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
00162Q395,OUSM,ALPS ETF TR,6953,2652,330.42K,126.03K,+61.7%,<.01%
46436E767,USXF,ISHARES TR,5631,1811,391.05K,125.77K,+47.4%,<.01%
67092P888,NUEM,NUSHARES ETF TR,6853,2956,290.81K,125.44K,+75.9%,<.01%
464287341,IXC,ISHARES TR,12052,2545,592.13K,125.04K,+26.8%,<.01%
459044103,IBOC,INTERNATIONAL BANCSHARES COR,7672,1629,582.65K,123.72K,+27%,<.01%
094235108,BLMN,BLOOMIN BRANDS INC,45868,13530,419.24K,123.67K,+41.8%,<.01%
464289420,IWX,ISHARES TR,16794,1173,1.77M,123.35K,+7.5%,<.01%
339382103,FLXS,FLEXSTEEL INDS INC,40232,1643,3M,122.37K,+4.3%,<.01%
46435U259,IBMO,ISHARES TR,5214,4773,133.68K,122.37K,+1082.3%,<.01%
33738R118,TDIV,FIRST TR EXCHANGE TRADED FD,16162,1064,1.86M,122.23K,+7%,<.01%
46654Q575,JMTG,J P MORGAN EXCHANGE TRADED F,4836,2408,245.08K,122.03K,+99.2%,<.01%
74347B680,REGL,PROSHARES TR,10031,1332,918.58K,121.98K,+15.3%,<.01%
56501R106,MFC,MANULIFE FINL CORP,409170,3001,16.59M,121.71K,+0.7%,<.01%
04316A108,APAM,ARTISAN PARTNERS ASSET MGMT,18887,3522,652.17K,121.61K,+22.9%,<.01%
00835Q202,AEVA,AEVA TECHNOLOGIES INC,341263,4219,9.8M,121.17K,+1.3%,<.01%
91359E105,UHT,UNIVERSAL HEALTH RLTY INCOME,29660,2758,1.3M,120.97K,+10.3%,<.01%
45781M101,INVA,INNOVIVA INC,74055,5325,1.68M,120.93K,+7.7%,<.01%
184499101,CLNE,CLEAN ENERGY FUELS CORP,75590,58724,154.96K,120.39K,+348.2%,<.01%
46641Q373,BBIN,J P MORGAN EXCHANGE TRADED F,4693,1534,366.4K,119.76K,+48.6%,<.01%
74934Q108,RICK,RCI HOSPITALITY HLDGS INC,5680,4343,155.16K,118.64K,+324.8%,<.01%
74766Q101,QTRX,QUANTERIX CORP,210634,27278,909.94K,117.84K,+14.9%,<.01%
46435G334,EWU,ISHARES TR,15805,2551,729.25K,117.7K,+19.2%,<.01%
025072364,AVIV,AMERICAN CENTY ETF TR,1974,1514,152.81K,117.2K,+329.1%,<.01%
746729763,FTNY,PUTNAM ETF TRUST,18118,14642,144.4K,116.7K,+421.2%,<.01%
37954Y343,MLPA,GLOBAL X FDS,5483,2192,291.02K,116.35K,+66.6%,<.01%
46435U283,IBMP,ISHARES TR,4823,4576,122.6K,116.32K,+1852.6%,<.01%
359616109,FULC,FULCRUM THERAPEUTICS INC,92327,31286,337.92K,114.51K,+51.3%,<.01%
64049M209,NEO,NEOGENOMICS INC,234150,7837,3.42M,114.34K,+3.5%,<.01%
464288406,IMCV,ISHARES TR,4952,1245,452.51K,113.77K,+33.6%,<.01%
G63755105,NIQ,NIQ GLOBAL INTELLIGENCE PLC,16744,12011,156.55K,112.3K,+253.8%,<.01%
464286814,EWN,ISHARES INC,2587,1577,181.96K,110.92K,+156.1%,<.01%
37954Y491,DAX,GLOBAL X FDS,3539,2509,156.3K,110.81K,+243.6%,<.01%
04649U102,ASUR,ASURE SOFTWARE INC,15814,13893,125.56K,110.31K,+723.2%,<.01%
532275104,LWLG,LIGHTWAVE LOGIC INC,34901,11602,330.17K,109.76K,+49.8%,<.01%
22410J106,CBRL,CRACKER BARREL OLD CTRY STOR,4411,2058,235.13K,109.7K,+87.5%,<.01%
