CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
75606V101,ALOY,REALLOYS INC,0,-29300,0,-285.97K,CLOSE,0%
M0740A108,DRTS,ALPHA TAU MEDICAL LTD,0,-40457,0,-286.03K,CLOSE,0%
359664109,FLGT,FULGENT GENETICS INC,0,-18000,0,-286.2K,CLOSE,0%
73757R102,PSTL,POSTAL REALTY TRUST INC,432532,-11623,10.66M,-286.39K,-2.6%,0.01%
51819L107,SWIM,LATHAM GROUP INC,452900,-44600,2.93M,-288.56K,-9%,<.01%
92915B106,VYGR,VOYAGER THERAPEUTICS INC,495236,-82788,1.73M,-289.76K,-14.3%,<.01%
G3855L106,GHRS,GH RESEARCH PLC,0,-20614,0,-289.83K,CLOSE,0%
81728A207,SNSE,FAETH THERAPEUTICS INC,20416,-11625,510.4K,-290.62K,-36.3%,<.01%
96208T104,WEX,WEX INC,0,-1900,0,-290.78K,CLOSE,0%
25056L103,DSGN,DESIGN THERAPEUTICS INC,387913,-20287,5.61M,-293.55K,-5%,<.01%
46654Q724,HELO,J P MORGAN EXCHANGE TRADED F,0,-4621,0,-295.33K,CLOSE,0%
33739Q705,KNG,FIRST TR EXCHANGE-TRADED FD,0,-6100,0,-297.13K,CLOSE,0%
442487401,HOV,HOVNANIAN ENTERPRISES INC,161315,-2100,22.97M,-299.06K,-1.3%,0.03%
501976104,KYTX,KYVERNA THERAPEUTICS INC,333899,-33593,2.98M,-299.31K,-9.1%,<.01%
05587G203,BKTI,BK TECHNOLOGIES CORPORATION,131769,-3484,11.33M,-299.55K,-2.6%,0.02%
629445206,NVEC,NVE CORP,170730,-2870,17.85M,-300.06K,-1.7%,0.02%
74365A309,PLX,PROTALIX BIOTHERAPEUTICS INC,1096000,-128800,2.55M,-300.1K,-10.5%,<.01%
038336103,ATR,APTARGROUP INC,170400,-2400,21.33M,-300.48K,-1.4%,0.03%
75383L102,RAPP,RAPPORT THERAPEUTICS INC,0,-9700,0,-303.51K,CLOSE,0%
